name,type,opening_month,closing_month,opening_time,closing_time,location,size,speed,weather,special_note
Soft-shelled Turtle,Fish,8,9,16,9,River,Medium,,Any,
Snapping Turtle,Fish,4,10,21,4,River,Medium,,Any,
Giant Snakehead,Fish,6,8,9,16,Pond,Large,,Any,
Pond Smelt,Fish,12,2,0,23,River,Small,,Any,
Char,Fish,3,11,16,9,Clifftop River,Medium,,Any,Not available in July or August. All Day fishing from September to November
Golden Trout,Fish,3,11,16,9,Clifftop River,Medium,,Any,Not available in July or August. All Day fishing from September to November
Stringfish,Fish,12,3,16,9,Clifftop River,Huge,,Any,
Salmon,Fish,9,9,0,23,River,Large,,Any,
King Salmon,Fish,9,9,0,23,River Mouth,Huge,,Any,
Saddled Bichir,Fish,6,9,21,4,River,Large,,Any,
Sea Butterfly,Fish,12,3,0,23,Ocean,Tiny,,Any,
Blowfish,Fish,11,2,21,4,Ocean,Medium,,Any,
Moray Eel,Fish,8,10,0,23,Ocean,Thin,,Any,
Giant Trevally,Fish,5,10,0,23,Pier,Very Large,,Any,
Mahi-mahi,Fish,5,10,0,23,Pier,Very Large,,Any,
Ocean Sunfish,Fish,7,9,4,21,Ocean,Huge (with fin),,Any,
Ray,Fish,8,11,4,21,Ocean,Very Large,,Any,
Hammerhead Shark,Fish,6,9,16,9,Ocean,Huge (with fin),,Any,
Football Fish,Fish,11,3,16,9,Ocean,Large,,Any,
Barreleye,Fish,1,12,21,4,Ocean,Small,,Any,
Flea,Bug,4,11,0,23,On Villagers,,,Sunny,
Sea Pig,Sea Creature,11,2,16,9,,Small,Very Fast,Any,
Vampire Squid,Sea Creature,5,8,16,9,,Medium,Very Fast,Any,
Snow Crab,Sea Creature,11,4,0,23,,Large,Fast,Any,
Red King Crab,Sea Creature,11,3,0,23,,Large,Very Fast,Any,
Spider Crab,Sea Creature,3,4,0,23,,Huge,Very Fast,Any,
Sweet Shrimp,Sea Creature,9,2,16,9,,Small,Slow,Any,
Spiny Lobster,Sea Creature,10,12,21,4,,Large,Fast,Any,
Giant Isopod,Sea Creature,7,10,9,4,,Medium,Very Fast,Any,Not available from 4:00PM to 9:00PM
Horseshoe Crab,Sea Creature,7,9,21,4,,Medium,Slow,Any,
Flatworm,Sea Creature,8,9,16,9,,Tiny,Very Slow,Any,
Venus' Flower Basket,Sea Creature,10,2,0,23,,Medium,Fast,Any,
