name,type,opening_month,closing_month,opening_time,closing_time,location,size,speed,weather,special_note
Bitterling,Fish,11,3,0,23,River,Tiny,,Any,
Pale Chub,Fish,1,12,9,16,River,Tiny,,Any,
Crucian Carp,Fish,1,12,0,23,River,Small,,Any,
Dace,Fish,1,12,16,9,River,Medium,,Any,
Carp,Fish,1,12,0,23,Pond,Large,,Any,
Koi,Fish,1,12,16,9,Pond,Large,,Any,
Goldfish,Fish,1,12,0,23,Pond,Tiny,,Any,
Pop-eyed Goldfish,Fish,1,12,9,16,Pond,Tiny,,Any,
Ranchu Goldfish,Fish,1,12,9,16,Pond,Small,,Any,
Killifish,Fish,4,8,0,23,Pond,Tiny,,Any,
Crawfish,Fish,4,9,0,23,Pond,Small,,Any,
Soft-shelled Turtle,Fish,8,9,16,9,River,Medium,,Any,
Snapping Turtle,Fish,4,10,21,4,River,Medium,,Any,
Tadpole,Fish,3,7,0,23,Pond,Tiny,,Any,
Frog,Fish,5,8,0,23,Pond,Small,,Any,
Freshwater Goby,Fish,1,12,16,9,River,Small,,Any,
Loach,Fish,3,5,0,23,River,Small,,Any,
Catfish,Fish,5,10,16,9,Pond,Large,,Any,
Giant Snakehead,Fish,6,8,9,16,Pond,Large,,Any,
Bluegill,Fish,1,12,9,16,River,Small,,Any,
Yellow Perch,Fish,10,3,0,23,River,Medium,,Any,
Black Bass,Fish,1,12,0,23,River,Large,,Any,
Tilapia,Fish,6,10,0,23,River,Medium,,Any,
Pike,Fish,9,12,0,23,River,Very Large,,Any,
Pond Smelt,Fish,12,2,0,23,River,Small,,Any,
Sweetfish,Fish,7,9,0,23,River,Medium,,Any,
Cherry Salmon,Fish,3,11,16,9,Clifftop River,Medium,,Any,Not available in July or August. All Day fishing from September to November
Char,Fish,3,11,16,9,Clifftop River,Medium,,Any,Not available in July or August. All Day fishing from September to November
Golden Trout,Fish,3,11,16,9,Clifftop River,Medium,,Any,Not available in July or August. All Day fishing from September to November
Stringfish,Fish,12,3,16,9,Clifftop River,Huge,,Any,
Salmon,Fish,9,9,0,23,River,Large,,Any,
King Salmon,Fish,9,9,0,23,River Mouth,Huge,,Any,
Mitten Crab,Fish,9,11,16,9,River,Small,,Any,
Guppy,Fish,4,11,9,16,River,Tiny,,Any,
Nibble Fish,Fish,5,11,9,16,River,Tiny,,Any,
Angelfish,Fish,5,10,16,9,River,Small,,Any,
Betta,Fish,5,10,9,16,River,Small,,Any,
Neon Tetra,Fish,4,11,9,16,River,Tiny,,Any,
Rainbowfish,Fish,5,10,9,16,River,Tiny,,Any,
Piranha,Fish,6,9,9,4,River,Small,,Any,Not available from 4:00PM to 9:00PM
Arowana,Fish,6,9,16,9,River,Medium,,Any,
Dorado,Fish,6,9,4,21,River,Very Large,,Any,
Gar,Fish,6,9,16,9,Pond,Huge,,Any,
Arapaima,Fish,6,9,16,9,River,Huge,,Any,
Saddled Bichir,Fish,6,9,21,4,River,Large,,Any,
Sturgeon,Fish,9,3,0,23,River Mouth,Very Large,,Any,
Sea Butterfly,Fish,12,3,0,23,Ocean,Tiny,,Any,
Seahorse,Fish,4,11,0,23,Ocean,Tiny,,Any,
Clownfish,Fish,4,9,0,23,Ocean,Tiny,,Any,
Surgeonfish,Fish,4,9,0,23,Ocean,Small,,Any,
Butterfly Fish,Fish,4,9,0,23,Ocean,Small,,Any,
Napoleonfish,Fish,6,7,4,21,Ocean,Huge,,Any,
Zebra Turkeyfish,Fish,4,11,0,23,Ocean,Medium,,Any,
Blowfish,Fish,11,2,21,4,Ocean,Medium,,Any,
Puffer Fish,Fish,7,9,0,23,Ocean,Medium,,Any,
Anchovy,Fish,1,12,4,21,Ocean,Small,,Any,
Horse Mackerel,Fish,1,12,0,23,Ocean,Small,,Any,
Barred Knifejaw,Fish,3,11,0,23,Ocean,Medium,,Any,
Sea Bass,Fish,1,12,0,23,Ocean,Very Large,,Any,
Red Snapper,Fish,1,12,0,23,Ocean,Large,,Any,
Dab,Fish,10,4,0,23,Ocean,Medium,,Any,
Olive Flounder,Fish,1,12,0,23,Ocean,Large,,Any,
Squid,Fish,12,8,0,23,Ocean,Medium,,Any,
Moray Eel,Fish,8,10,0,23,Ocean,Thin,,Any,
Ribbon Eel,Fish,6,10,0,23,Ocean,Thin,,Any,
Tuna,Fish,11,4,0,23,Pier,Huge,,Any,
Blue Marlin,Fish,7,4,0,23,Pier,Huge,,Any,Not available in October
Giant Trevally,Fish,5,10,0,23,Pier,Very Large,,Any,
Mahi-mahi,Fish,5,10,0,23,Pier,Very Large,,Any,
Ocean Sunfish,Fish,7,9,4,21,Ocean,Huge (with fin),,Any,
Ray,Fish,8,11,4,21,Ocean,Very Large,,Any,
Saw Shark,Fish,6,9,16,9,Ocean,Huge (with fin),,Any,
Hammerhead Shark,Fish,6,9,16,9,Ocean,Huge (with fin),,Any,
Great White Shark,Fish,6,9,16,9,Ocean,Huge (with fin),,Any,
Whale Shark,Fish,6,9,0,23,Ocean,Huge (with fin),,Any,
Suckerfish,Fish,6,9,0,23,Ocean,Large (with fin),,Any,
Football Fish,Fish,11,3,16,9,Ocean,Large,,Any,
Oarfish,Fish,12,5,0,23,Ocean,Huge,,Any,
Barreleye,Fish,1,12,21,4,Ocean,Small,,Any,
Coelacanth,Fish,1,12,0,23,Ocean,Huge,,Raining,
Common Butterfly,Bug,9,6,4,19,Flying,,,Sunny,
Yellow Butterfly,Bug,3,10,4,19,Near Flowers,,,Sunny,Not available in July or August
Tiger Butterfly,Bug,3,9,4,21,Near Red Flowers,,,Sunny,
Peacock Butterfly,Bug,3,6,4,19,"Near Purple, Black, and Blue Flowers",,,Sunny,
Common Bluebottle,Bug,4,8,4,19,Near Flowers,,,Sunny,
Paper Kite Butterfly,Bug,1,12,8,19,Flying,,,Sunny,
Great Purple Emperor,Bug,5,8,4,19,Flying,,,Any,
Monarch Butterfly,Bug,9,11,4,17,Flying,,,Sunny,
Emperor Butterfly,Bug,12,9,17,8,Near Flowers,,,Sunny,Not available in April or May
Agrias Butterfly,Bug,4,9,8,17,Near Flowers,,,Sunny,
Rajah Brooke's Birdwing,Bug,12,9,8,17,Near Blue Flowers,,,Sunny,Not available in March
Queen Alexandria's Birdwing,Bug,5,9,8,16,Near Flowers,,,Sunny,
Moth,Bug,1,12,19,4,Near Outside Lights,,,Sunny,
Atlas Moth,Bug,4,9,19,4,On Trees & Palm Trees,,,Any,
Madagascan Sunset Moth,Bug,4,9,8,16,Near Flowers,,,Sunny,
Long Locust,Bug,4,11,8,19,On the Ground,,,Any,
